Vg Vd w_enc_g w_enc_d time
0 -0 0 0 0
0.0810810810810811 -0.135272727272727 0.12325459878129 -0.169789774208091 0.01
0.162162162162162 -0.270545454545455 0.585397916629954 -0.811243952374807 0.02
0.243243243243243 -0.405818181818182 1.34642400348474 -1.878263527155 0.03
0.324324324324324 -0.541090909090909 2.35087592026426 -3.30149335623095 0.04
0.405405405405406 -0.676363636363637 3.55289637393999 -5.02255617650559 0.05
0.486486486486487 -0.811636363636364 4.9149841588762 -6.9928176529362 0.06
0.567567567567568 -0.946909090909091 6.40650790811969 -9.17174939560869 0.07
0.648648648648649 -1.08218181818182 8.00247310307403 -11.5255588124152 0.08
0.729729729729729 -1.21745454545455 9.68250746951769 -14.0260524821443 0.09
0.810810810810811 -1.35272727272727 11.4300266087054 -16.6496933090249 0.1
0.891891891891892 -1.488 13.2315481092898 -19.3768182030993 0.11
0.972972972972973 -1.62327272727273 15.0761279453161 -22.1909887542987 0.12
1.05405405405405 -1.75854545454545 16.9548975618123 -25.0784521127873 0.13
1.13513513513514 -1.89381818181818 18.8606838422063 -28.0276932128645 0.14
1.21621621621622 -2.02909090909091 20.7876972809267 -31.029062724202 0.15
1.2972972972973 -2.16436363636364 22.7312762659138 -34.0744677998932 0.16
1.37837837837838 -2.29963636363636 24.687677505037 -37.1571149128051 0.17
1.45945945945946 -2.43490909090909 26.6539043865442 -40.2712959103024 0.18
1.54054054054054 -2.57018181818182 28.6275665118732 -43.4122099389048 0.19
1.62162162162162 -2.70545454545455 30.6067648332524 -46.5758151496948 0.2
1.7027027027027 -2.84072727272727 32.5899978129463 -49.7587051376371 0.21
1.78378378378378 -2.976 34.5760848324509 -52.95800593091 0.22
1.86486486486486 -3.11127272727273 36.5641037486842 -56.1712900608588 0.23
1.94594594594595 -3.24654545454545 38.5533400452441 -59.3965048348987 0.24
2.02702702702703 -3.38181818181818 40.5432454807508 -62.6319124248055 0.25
2.10810810810811 -3.51709090909091 42.5334045101635 -65.8760397888671 0.26
2.18918918918919 -3.65236363636364 44.5235070628279 -69.1276367828099 0.27
2.27027027027027 -3.78763636363636 46.5133265144408 -72.3856410932604 0.28
2.35135135135135 -3.92290909090909 48.5027018986909 -75.6491488586623 0.29
2.43243243243243 -4.05818181818182 50.4915235759328 -78.9173900342448 0.3
2.51351351351351 -4.19345454545454 52.4797217173798 -82.1897077166203 0.31
2.59459459459459 -4.32872727272727 54.4672570793321 -85.4655407754862 0.32
2.67567567567568 -4.464 56.4541136373156 -88.7444092493739 0.33
2.75675675675676 -4.59927272727273 58.4402927283407 -92.0259020532586 0.34
2.83783783783784 -4.73454545454545 60.4258084138113 -95.3096666213139 0.35
2.91891891891892 -4.86981818181818 62.410683828399 -98.5954001707911 0.36
3 -5.00509090909091 64.3949483234987 -101.88284232511 0.37
3.08108108108108 -5.14036363636364 66.3786352493698 -105.171768877572 0.38
3.16216216216216 -5.27563636363636 68.361780249146 -108.461986513142 0.39
3.24324324324324 -5.41090909090909 70.3444199616948 -111.753328335735 0.4
3.32432432432432 -5.54618181818182 72.326591049779 -115.045650073416 0.41
3.40540540540541 -5.68145454545455 74.3083294858809 -118.338826854724 0.42
3.48648648648649 -5.81672727272727 76.2896700410407 -121.632750466657 0.43
3.56756756756757 -5.952 78.270645932658 -124.927327019335 0.44
3.64864864864865 -6.08727272727273 80.2512885958335 -128.222474954404 0.45
3.72972972972973 -6.22254545454545 82.2316275498525 -131.518123344342 0.46
3.81081081081081 -6.35781818181818 84.2116903371202 -134.814210438229 0.47
3.89189189189189 -6.49309090909091 86.191502516481 -138.110682416599 0.48
3.97297297297297 -6.62836363636364 88.1710876966087 -141.407492323879 0.49
4.05405405405405 -6.76363636363636 90.1504675981787 -144.70459915186 0.5
4.13513513513514 -6.89890909090909 92.1296621359782 -148.001967051777 0.51
4.21621621621622 -7.03418181818182 94.1086895140721 -151.299564656058 0.52
4.2972972972973 -7.16945454545455 96.0875663287215 -154.597364493693 0.53
4.37837837837838 -7.30472727272727 98.0663076750065 -157.895342485666 0.54
4.45945945945946 -7.44 100.044927254113 -161.193477508908 0.55
4.54054054054054 -7.36145454545455 101.970457743981 -164.255233249474 0.56
4.62162162162162 -7.28290909090909 103.757262573313 -166.654467487162 0.57
4.7027027027027 -7.20436363636364 105.435937497465 -168.445991916208 0.58
4.78378378378378 -7.12581818181818 107.040731446578 -169.71881209677 0.59
4.86486486486486 -7.04727272727273 108.598458444886 -170.549117493046 0.6
4.94594594594595 -6.96872727272727 110.129725489008 -171.001424594254 0.61
5.02702702702703 -6.89018181818182 111.650177318393 -171.130412483276 0.62
5.10810810810811 -6.81163636363636 113.171512178126 -170.982479441259 0.63
5.18918918918919 -6.73309090909091 114.70230416544 -170.597046555185 0.64
5.27027027027027 -6.65454545454546 116.248667479753 -170.007649804704 0.65
5.35135135135135 -6.576 117.81479173746 -169.242855707705 0.66
5.43243243243243 -6.49745454545455 119.403372261953 -168.327029709712 0.67
5.51351351351351 -6.41890909090909 121.015954936483 -167.280981593988 0.68
5.59459459459459 -6.34036363636364 122.65321165439 -166.122508115543 0.69
5.67567567567568 -6.26181818181818 124.315159482361 -164.866849680411 0.7
5.75675675675676 -6.18327272727273 126.001334255457 -163.527075083243 0.71
5.83783783783784 -6.10472727272727 127.71092735552 -162.114405983279 0.72
5.91891891891892 -6.02618181818182 129.442892810876 -160.638490859923 0.73
6 -5.94763636363636 131.196030532404 -159.10763657722 0.74
5.97375 -5.86909090909091 132.850411644259 -157.502429318092 0.75
