xhat1 xhat2 xhat3 xhat4 yhat1 yhat2 time
-0.142817 19.2695 1.32874 2.05862 135 -154.042 0.77
-0.123446 19.2032 1.12545 2.07833 135.794 -152.254 0.78
-0.105079 19.1199 0.949742 2.08927 136.394 -150.404 0.79
-0.0876129 19.0222 0.797764 2.09334 136.826 -148.508 0.8
-0.0709571 18.9126 0.666185 2.09218 137.114 -146.575 0.81
-0.0550286 18.793 0.552126 2.08712 137.279 -144.616 0.82
-0.0397534 18.6651 0.453136 2.07922 137.338 -142.639 0.83
-0.0250647 18.5302 0.367122 2.06932 137.306 -140.647 0.84
-0.0109026 18.3895 0.292285 2.05811 137.194 -138.648 0.85
0.00278679 18.2438 0.227107 2.04608 137.015 -136.643 0.86
0.0160519 18.0942 0.170264 2.03366 136.776 -134.636 0.87
0.028936 17.9411 0.12064 2.02116 136.487 -132.629 0.88
0.0414784 17.7851 0.0772603 2.00881 136.154 -130.623 0.89
0.0537139 17.6268 0.0393074 1.99678 135.782 -128.62 0.9
0.0656742 17.4665 0.00605811 1.9852 135.377 -126.621 0.91
0.0773875 17.3046 -0.0230966 1.97415 134.943 -124.625 0.92
0.0888792 17.1412 -0.0486895 1.96369 134.484 -122.634 0.93
0.100172 16.9767 -0.0711807 1.95384 134.003 -120.647 0.94
0.111287 16.8112 -0.0909575 1.94463 133.503 -118.665 0.95
0.122241 16.645 -0.108373 1.93605 132.987 -116.688 0.96
0.133052 16.478 -0.123718 1.92808 132.455 -114.715 0.97
0.143734 16.3105 -0.137253 1.92072 131.911 -112.746 0.98
0.154301 16.1425 -0.149196 1.91392 131.355 -110.782 0.99
0.164764 15.9741 -0.159747 1.90768 130.79 -108.821 1
0.175135 15.8054 -0.169076 1.90195 130.216 -106.865 1.01
0.185422 15.6364 -0.177331 1.8967 129.634 -104.911 1.02
0.195634 15.4671 -0.184639 1.89191 129.046 -102.961 1.03
0.20578 15.2977 -0.191112 1.88753 128.452 -101.014 1.04
0.215865 15.1281 -0.196852 1.88355 127.852 -99.07 1.05
0.225897 14.9584 -0.201946 1.87993 127.248 -97.1284 1.06
0.23588 14.7886 -0.206463 1.87663 126.64 -95.1891 1.07
0.24582 14.6187 -0.210475 1.87364 126.028 -93.252 1.08
0.255722 14.4487 -0.21404 1.87093 125.413 -91.317 1.09
0.265588 14.2786 -0.217212 1.86848 124.795 -89.3837 1.1
