xhat1 xhat2 xhat3 xhat4 yhat1 yhat2 time
0 0 0 0 0 0 0
-0.000324316487451995 0.0184414496445135 3.73220209207306e-05 4.21284228255283e-05 0.116689773170385 -0.159931971497318 0.01
-0.00157688295761412 0.088136755619035 0.330460638769558 -0.557016149138091 0.555900136635155 -0.766151197650371 0.02
-0.004037173740264 0.204209457008494 0.501116308883995 -0.871576292173476 1.2624260115461 -1.8007158435813 0.03
-0.00718204361858681 0.358982548795952 0.673611155159476 -1.1812920613648 2.21356620806385 -3.17117202387543 0.04
-0.0110340505760652 0.546135497893978 0.802330778938194 -1.43264125513767 3.36041286246716 -4.83161960594252 0.05
-0.0155074261938442 0.760336563484759 0.909736940064662 -1.64968190959086 4.66869581321275 -6.73635263905864 0.06
-0.0205374456183508 0.997144508985612 0.995151488902274 -1.83335571239235 6.10942077616871 -8.84774685861548 0.07
-0.0260664017200552 1.25284357309168 1.06389055819457 -1.99009263021103 7.65856668351725 -11.1340869128579 0.08
-0.0320421383221149 1.52432985594885 1.11860121971404 -2.12362109009322 9.2963313648087 -13.568616474424 0.09
-0.0384180574395621 1.8090091077223 1.16198225763608 -2.2375971678856 11.0063644786131 -16.1287721372214 0.1
-0.0451524070240367 2.10471348126818 1.19610687847164 -2.33495172812179 12.7751906412422 -18.7955115777805 0.11
-0.0522077913913908 2.40963131666993 1.22272749386196 -2.41820566665891 14.5917154489317 -21.5527543011172 0.12
-0.0595507168089554 2.72224865684455 1.24327189543563 -2.48947499292152 16.4468171390704 -24.3869127135978 0.13
-0.0671511838493546 3.04130031564384 1.258916686497 -2.55055273951787 18.3330067773719 -27.2864979572858 0.14
-0.0749823229710501 3.36572900368128 1.27062542427483 -2.60295457962873 20.2441459962062 -30.2417890590129 0.15
-0.0830200679542442 3.69465116547839 1.27918713672439 -2.64796405416202 22.1752125441383 -33.2445549380375 0.16
-0.0912428634285441 4.02732843179799 1.28524625716983 -2.68666851651928 24.122105676582 -36.2878208003879 0.17
-0.0996314029143388 4.36314376248249 1.28932807251498 -2.71998996342607 26.0814846909961 -39.3656717462413 0.18
-0.108168394193903 4.70158150964646 1.29185964545459 -2.7487107783174 28.0506350427549 -42.473087601942 0.19
-0.116838349161716 5.04221075685193 1.29318720871334 -2.77349544373472 30.0273573989417 -45.6058039538372 0.2
-0.125627395599858 5.38467139600866 1.29359055524445 -2.79490879916613 32.0098757634078 -48.7601951767222 0.21
-0.13452310859104 5.72866249211967 1.29329495267904 -2.81343141962326 33.9967614514948 -51.9331759303002 0.22
-0.143514359520464 6.07393255993705 1.29248099463179 -2.82947256965893 35.9868702314969 -55.1221181675588 0.23
-0.152591180831451 6.42027143836104 1.29129274060459 -2.84338112227417 37.9792903989444 -58.3247811764712 0.24
-0.161744644891228 6.76750350004087 1.28984443485346 -2.85545476685256 39.9732999242247 -61.5392525763883 0.25
-0.170966755494762 7.11548197677643 1.28822604658844 -2.86594777874106 41.9683311261724 -64.763898525474 0.26
-0.180250350688086 7.46408421737206 1.28650783292455 -2.87507757898861 43.9639415844181 -67.9973216761629 0.27
-0.189589015730157 7.81320772472158 1.28474409215729 -2.88303027608261 45.959790220068 -71.2383256507557 0.28
-0.198977005135477 8.16276684408084 1.28297624665306 -2.88996535070878 47.9556176549079 -74.4858850063047 0.29
-0.208409172850074 8.51268999552467 1.28123537111054 -2.89601961875736 49.9512301097635 -77.7391198231066 0.3
-0.217880909712291 8.86291736116747 1.27954426234238 -2.90131058616151 51.9464862279366 -80.9972741895754 0.31
-0.227388087438341 9.21339895242049 1.27791913040459 -2.90593929101238 53.941286313931 -84.2596979723764 0.32
-0.236927008451892 9.56409299483827 1.27637097731548 -2.9099927131803 55.9355635644942 -87.5258313580798 0.33
-0.246494360947989 9.9149645783675 1.27490671830132 -2.91354581890776 57.9292769412236 -90.7951917342889 0.34
-0.256087178645184 10.2659845293876 1.2735300911029 -2.91666329712974 59.9224053940617 -94.067362546753 0.35
-0.265702804736768 10.6171284680982 1.27224239105851 -2.91940103528731 61.914943194952 -97.3419838265211 0.36
-0.275338859603 10.9683760207964 1.27104306317974 -2.92180737485295 63.9068961824399 -100.618744129507 0.37
-0.284993211891948 11.3197101615939 1.26993017703712 -2.9239241804476 65.8982787524908 -103.897373671417 0.38
-0.294663952617492 11.6711166623023 1.26890080578868 -2.92578775110372 67.8891114594344 -107.1776384751 0.39
-0.304349371959705 12.0225836327146 1.26795132696205 -2.92742959775361 69.8794191147127 -110.459335376007 0.4
-0.314047938485667 12.3741011364269 1.26707765951331 -2.92887710725917 71.8692292908242 -113.74228775558 0.41
-0.323758280538197 12.7256608697888 1.26627544912531 -2.93015411013491 73.8585711542031 -117.026341892629 0.42
-0.333479169566305 13.0772558936088 1.26554021158706 -2.93128136645336 75.8474745643126 -120.31136383982 0.43
-0.343209505194802 13.4288804089459 1.26486744233887 -2.93227698218017 77.8359693874408 -123.597236746748 0.44
-0.352948301851604 13.7805295697431 1.264252698815 -2.93315676629905 79.8240849829666 -126.883858563181 0.45
-0.362694676790227 14.1321993262495 1.26369166101365 -2.93393453749577 81.8118498275229 -130.17114006622 0.46
-0.372447839361898 14.4838862941705 1.26318017473199 -2.93462238782994 83.7992912488191 -133.459003163739 0.47
-0.382207081406923 14.8355876453202 1.2627142810848 -2.935230909692 85.7864352461068 -136.747379433697 0.48
-0.391971768648528 15.1873010162412 1.26229023525051 -2.93576939138871 87.7733063785738 -140.036208865044 0.49
-0.401741332984591 15.5390244318402 1.26190451683265 -2.93624598589427 89.7599277064956 -143.325438771108 0.5
-0.411515265583579 15.8907562415721 1.26155383376778 -2.9366678566229 91.7463207728856 -146.615022850696 0.51
-0.421293110700799 16.2424950661099 1.26123512133614 -2.93704130350342 93.7325056157708 -149.904920375877 0.52
-0.431074460139803 16.594239752778 1.2609455375236 -2.93737187214826 95.7185008031818 -153.195095488489 0.53
-0.440858948291632 16.9459893383092 1.2606824557321 -2.93766444849751 97.7043234845436 -156.485516590095 0.54
-0.450646247691631 17.2977430177204 1.26044345563047 -2.93792334096848 99.6899894534609 -159.776155812345 0.55
-0.459157002592074 17.6312827971609 1.2600720156061 -2.9383113969961 101.624154139235 -162.845087818178 0.56
-0.464006430153662 17.9141567388143 1.26843499379964 -2.05285181540867 103.422413530863 -165.289937551351 0.57
-0.464093168156217 18.1512062784978 1.31239049745788 -1.52939311519801 105.194502544986 -167.073591632481 0.58
